Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS09,Chrome 126.0.0.0,,,12-07-2024 20:01:12,12-07-2024 20:01:26,"13,607s",PASSED
,,,,,,,
Test Cases/Create Test Case/TC09,Chrome 126.0.0.0,,,12-07-2024 20:01:12,12-07-2024 20:01:26,"13,466s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,12-07-2024 20:01:13,12-07-2024 20:01:16,"3,092s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 20:01:16,12-07-2024 20:01:16,"0,063s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,12-07-2024 20:01:16,12-07-2024 20:01:17,"0,902s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,12-07-2024 20:01:17,12-07-2024 20:01:17,"0,523s",PASSED
delay(0),Chrome 126.0.0.0,,,12-07-2024 20:01:17,12-07-2024 20:01:17,"0,023s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:01:17,12-07-2024 20:01:18,"0,551s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Elizabeth Olsen"")",Chrome 126.0.0.0,,,12-07-2024 20:01:18,12-07-2024 20:01:19,"0,691s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,12-07-2024 20:01:19,12-07-2024 20:01:20,"1,848s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 20:01:20,12-07-2024 20:01:25,"5,048s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:01:25,12-07-2024 20:01:26,"0,439s",PASSED
