Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:01:21,17-07-2024 14:01:37,"15,662s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:01:21,17-07-2024 14:01:37,"15,443s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:01:22,17-07-2024 14:01:25,"3,789s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:01:25,17-07-2024 14:01:25,"0,059s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:01:25,17-07-2024 14:01:27,"1,102s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:01:27,17-07-2024 14:01:27,"0,566s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:01:27,17-07-2024 14:01:27,"0,064s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:01:27,17-07-2024 14:01:28,"0,782s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:01:28,17-07-2024 14:01:29,"0,855s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:01:29,17-07-2024 14:01:31,"1,719s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:01:31,17-07-2024 14:01:36,"5,045s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:01:36,17-07-2024 14:01:36,"0,523s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:01:36,17-07-2024 14:01:37,"0,425s",PASSED
