Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03D,,,,15-07-2024 11:48:17,15-07-2024 11:48:46,"29,009s",PASSED
,,,,,,,
Test Cases/DesktopTest/TC03D,,,,15-07-2024 11:48:18,15-07-2024 11:48:46,"28,859s",PASSED
"startApplicationWithTitle(""C:\Users\1331\Desktop\Wikipedia.lnk"", ""Wikipedia"")",,,,15-07-2024 11:48:18,15-07-2024 11:48:37,"18,847s",PASSED
"waitForElementPresent(findWindowsObject(""DesktopWikipedia/input_SearchWikipedia""), 0)",,,,15-07-2024 11:48:37,15-07-2024 11:48:37,"0,374s",PASSED
delay(2),,,,15-07-2024 11:48:37,15-07-2024 11:48:39,"2,035s",PASSED
"click(findWindowsObject(""DesktopWikipedia/input_SearchWikipedia""))",,,,15-07-2024 11:48:39,15-07-2024 11:48:40,"0,533s",PASSED
"setText(findWindowsObject(""DesktopWikipedia/input_SearchWikipedia""), ""Jokowi"")",,,,15-07-2024 11:48:40,15-07-2024 11:48:41,"1,269s",PASSED
"sendKeys(findWindowsObject(""DesktopWikipedia/input_SearchWikipedia""), Keys.chord(ENTER))",,,,15-07-2024 11:48:41,15-07-2024 11:48:41,"0,392s",PASSED
delay(5),,,,15-07-2024 11:48:41,15-07-2024 11:48:46,"5,009s",PASSED
closeApplication(),,,,15-07-2024 11:48:46,15-07-2024 11:48:46,"0,116s",PASSED
