Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:23:16,17-07-2024 14:23:31,"15,806s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:23:16,17-07-2024 14:23:31,"15,591s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:23:16,17-07-2024 14:23:20,"3,930s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:23:20,17-07-2024 14:23:20,"0,075s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:23:20,17-07-2024 14:23:21,"1,072s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:23:21,17-07-2024 14:23:22,"0,578s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:23:22,17-07-2024 14:23:22,"0,057s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:23:22,17-07-2024 14:23:23,"0,814s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:23:23,17-07-2024 14:23:24,"0,809s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:23:24,17-07-2024 14:23:25,"1,769s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:23:25,17-07-2024 14:23:30,"5,031s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:23:30,17-07-2024 14:23:31,"0,565s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:23:31,17-07-2024 14:23:31,"0,397s",PASSED
