Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS10,TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:03,24-07-2024 11:57:49,"46,043s",PASSED
,,,,,,,
Test Cases/WebTest/TC10,TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:03,24-07-2024 11:57:49,"45,896s",PASSED
"openBrowser(""www.wikipedia.org"")",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:03,24-07-2024 11:57:26,"22,257s",PASSED
maximizeWindow(),TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:26,24-07-2024 11:57:26,"0,414s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:26,24-07-2024 11:57:28,"2,256s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:28,24-07-2024 11:57:30,"1,221s",PASSED
delay(0),TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:30,24-07-2024 11:57:30,"0,026s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:30,24-07-2024 11:57:34,"3,972s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Tom Holland"")",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:34,24-07-2024 11:57:37,"3,824s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:37,24-07-2024 11:57:39,"1,840s",PASSED
"delay(5, STOP_ON_FAILURE)",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:39,24-07-2024 11:57:44,"5,017s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:44,24-07-2024 11:57:48,"3,720s",PASSED
closeBrowser(),TestCloud - Windows - Chrome 125.0.0.0,,,24-07-2024 11:57:48,24-07-2024 11:57:49,"1,074s",PASSED
