Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Firefox 127.0,,,17-07-2024 17:32:58,17-07-2024 17:33:15,"16,698s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Firefox 127.0,,,17-07-2024 17:32:59,17-07-2024 17:33:15,"16,497s",PASSED
"openBrowser(""www.wikipedia.org"")",Firefox 127.0,,,17-07-2024 17:32:59,17-07-2024 17:33:04,"5,177s",PASSED
maximizeWindow(),Firefox 127.0,,,17-07-2024 17:33:04,17-07-2024 17:33:04,"0,046s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Firefox 127.0,,,17-07-2024 17:33:04,17-07-2024 17:33:05,"1,174s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Firefox 127.0,,,17-07-2024 17:33:05,17-07-2024 17:33:06,"0,723s",PASSED
delay(0),Firefox 127.0,,,17-07-2024 17:33:06,17-07-2024 17:33:06,"0,047s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Firefox 127.0,,,17-07-2024 17:33:06,17-07-2024 17:33:07,"0,689s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Firefox 127.0,,,17-07-2024 17:33:07,17-07-2024 17:33:08,"0,565s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Firefox 127.0,,,17-07-2024 17:33:08,17-07-2024 17:33:08,"0,894s",PASSED
"delay(5, STOP_ON_FAILURE)",Firefox 127.0,,,17-07-2024 17:33:08,17-07-2024 17:33:13,"5,039s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Firefox 127.0,,,17-07-2024 17:33:13,17-07-2024 17:33:14,"0,512s",PASSED
closeBrowser(),Firefox 127.0,,,17-07-2024 17:33:14,17-07-2024 17:33:15,"1,123s",PASSED
