Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS02,Chrome 126.0.0.0,,,17-07-2024 14:39:23,17-07-2024 14:39:37,"13,994s",PASSED
,,,,,,,
Test Cases/WebTest/TC02,Chrome 126.0.0.0,,,17-07-2024 14:39:23,17-07-2024 14:39:37,"13,860s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:39:23,17-07-2024 14:39:27,"3,193s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:39:27,17-07-2024 14:39:27,"0,071s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:39:27,17-07-2024 14:39:28,"1,113s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:39:28,17-07-2024 14:39:28,"0,618s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:39:28,17-07-2024 14:39:28,"0,021s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:39:28,17-07-2024 14:39:29,"0,540s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:39:29,17-07-2024 14:39:30,"0,682s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:39:30,17-07-2024 14:39:31,"1,624s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:39:31,17-07-2024 14:39:36,"5,020s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:39:36,17-07-2024 14:39:37,"0,441s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:39:37,17-07-2024 14:39:37,"0,230s",PASSED
