Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,12-07-2024 19:57:28,12-07-2024 19:57:42,"13,694s",PASSED
,,,,,,,
Test Cases/Create Test Case/TC01,Chrome 126.0.0.0,,,12-07-2024 19:57:28,12-07-2024 19:57:42,"13,544s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,12-07-2024 19:57:29,12-07-2024 19:57:32,"3,309s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 19:57:32,12-07-2024 19:57:32,"0,079s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,12-07-2024 19:57:32,12-07-2024 19:57:33,"1,054s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,12-07-2024 19:57:33,12-07-2024 19:57:34,"0,508s",PASSED
delay(0),Chrome 126.0.0.0,,,12-07-2024 19:57:34,12-07-2024 19:57:34,"0,025s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 19:57:34,12-07-2024 19:57:34,"0,575s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Robert Downey Jr."")",Chrome 126.0.0.0,,,12-07-2024 19:57:34,12-07-2024 19:57:35,"0,706s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,12-07-2024 19:57:35,12-07-2024 19:57:37,"1,544s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 19:57:37,12-07-2024 19:57:42,"5,016s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 19:57:42,12-07-2024 19:57:42,"0,434s",PASSED
