Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS04,Chrome 126.0.0.0,,,12-07-2024 19:59:06,12-07-2024 19:59:20,"13,936s",PASSED
,,,,,,,
Test Cases/Create Test Case/TC04,Chrome 126.0.0.0,,,12-07-2024 19:59:06,12-07-2024 19:59:20,"13,762s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,12-07-2024 19:59:06,12-07-2024 19:59:09,"3,154s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 19:59:09,12-07-2024 19:59:09,"0,055s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,12-07-2024 19:59:09,12-07-2024 19:59:10,"0,968s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,12-07-2024 19:59:10,12-07-2024 19:59:11,"0,535s",PASSED
delay(0),Chrome 126.0.0.0,,,12-07-2024 19:59:11,12-07-2024 19:59:11,"0,024s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 19:59:11,12-07-2024 19:59:11,"0,551s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Mark Ruffalo"")",Chrome 126.0.0.0,,,12-07-2024 19:59:11,12-07-2024 19:59:12,"0,700s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,12-07-2024 19:59:12,12-07-2024 19:59:14,"2,017s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 19:59:14,12-07-2024 19:59:19,"5,014s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 19:59:19,12-07-2024 19:59:20,"0,454s",PASSED
