Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:16:54,17-07-2024 14:17:10,"15,714s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:16:55,17-07-2024 14:17:10,"15,529s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:16:55,17-07-2024 14:16:59,"3,624s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:16:59,17-07-2024 14:16:59,"0,067s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:16:59,17-07-2024 14:17:00,"1,117s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:17:00,17-07-2024 14:17:00,"0,590s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:17:00,17-07-2024 14:17:01,"0,062s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:17:01,17-07-2024 14:17:01,"0,826s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:17:01,17-07-2024 14:17:02,"0,865s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:17:02,17-07-2024 14:17:04,"1,949s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:17:04,17-07-2024 14:17:09,"5,034s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:17:09,17-07-2024 14:17:10,"0,556s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:17:10,17-07-2024 14:17:10,"0,374s",PASSED
