Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS02,Chrome 126.0.0.0,,,17-07-2024 14:47:34,17-07-2024 14:47:48,"14,095s",PASSED
,,,,,,,
Test Cases/WebTest/TC02,Chrome 126.0.0.0,,,17-07-2024 14:47:34,17-07-2024 14:47:48,"13,957s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:47:34,17-07-2024 14:47:38,"3,269s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:47:38,17-07-2024 14:47:38,"0,063s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:47:38,17-07-2024 14:47:39,"1,262s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:47:39,17-07-2024 14:47:40,"0,620s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:47:40,17-07-2024 14:47:40,"0,023s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:47:40,17-07-2024 14:47:40,"0,538s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:47:40,17-07-2024 14:47:41,"0,697s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:47:41,17-07-2024 14:47:42,"1,485s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:47:42,17-07-2024 14:47:47,"5,028s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:47:47,17-07-2024 14:47:48,"0,445s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:47:48,17-07-2024 14:47:48,"0,222s",PASSED
