Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:28:36,17-07-2024 14:28:53,"16,248s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:28:37,17-07-2024 14:28:53,"16,038s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:28:37,17-07-2024 14:28:41,"3,883s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:28:41,17-07-2024 14:28:41,"0,080s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:28:41,17-07-2024 14:28:42,"1,090s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:28:42,17-07-2024 14:28:43,"0,661s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:28:43,17-07-2024 14:28:43,"0,068s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:28:43,17-07-2024 14:28:44,"0,788s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:28:44,17-07-2024 14:28:45,"0,913s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:28:45,17-07-2024 14:28:47,"2,132s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:28:47,17-07-2024 14:28:52,"5,036s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:28:52,17-07-2024 14:28:52,"0,559s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:28:52,17-07-2024 14:28:53,"0,369s",PASSED
