Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS07,Chrome 126.0.0.0,,,12-07-2024 20:00:22,12-07-2024 20:00:36,"13,917s",PASSED
,,,,,,,
Test Cases/Create Test Case/TC07,Chrome 126.0.0.0,,,12-07-2024 20:00:22,12-07-2024 20:00:36,"13,782s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,12-07-2024 20:00:22,12-07-2024 20:00:25,"3,157s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 20:00:25,12-07-2024 20:00:25,"0,060s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,12-07-2024 20:00:25,12-07-2024 20:00:26,"0,929s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,12-07-2024 20:00:26,12-07-2024 20:00:27,"0,632s",PASSED
delay(0),Chrome 126.0.0.0,,,12-07-2024 20:00:27,12-07-2024 20:00:27,"0,023s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:00:27,12-07-2024 20:00:27,"0,562s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Sebastian Stan"")",Chrome 126.0.0.0,,,12-07-2024 20:00:27,12-07-2024 20:00:28,"0,695s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,12-07-2024 20:00:28,12-07-2024 20:00:30,"1,995s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 20:00:30,12-07-2024 20:00:35,"5,027s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:00:35,12-07-2024 20:00:36,"0,433s",PASSED
