Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS04,Chrome 126.0.0.0,,,12-07-2024 20:12:56,12-07-2024 20:13:10,"13,460s",PASSED
,,,,,,,
Test Cases/Create Test Case/TC04,Chrome 126.0.0.0,,,12-07-2024 20:12:57,12-07-2024 20:13:10,"13,304s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,12-07-2024 20:12:57,12-07-2024 20:13:00,"3,147s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 20:13:00,12-07-2024 20:13:00,"0,084s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,12-07-2024 20:13:00,12-07-2024 20:13:01,"0,967s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,12-07-2024 20:13:01,12-07-2024 20:13:02,"0,522s",PASSED
delay(0),Chrome 126.0.0.0,,,12-07-2024 20:13:02,12-07-2024 20:13:02,"0,024s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:13:02,12-07-2024 20:13:02,"0,565s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Mark Ruffalo"")",Chrome 126.0.0.0,,,12-07-2024 20:13:02,12-07-2024 20:13:03,"0,695s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,12-07-2024 20:13:03,12-07-2024 20:13:04,"1,396s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 20:13:04,12-07-2024 20:13:09,"5,028s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:13:10,12-07-2024 20:13:10,"0,445s",PASSED
