Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:19:02,17-07-2024 14:19:19,"16,697s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:19:03,17-07-2024 14:19:19,"16,489s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:19:03,17-07-2024 14:19:07,"3,798s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:19:07,17-07-2024 14:19:07,"0,081s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:19:07,17-07-2024 14:19:08,"1,078s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:19:08,17-07-2024 14:19:09,"0,662s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:19:09,17-07-2024 14:19:09,"0,056s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:19:09,17-07-2024 14:19:10,"0,826s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:19:10,17-07-2024 14:19:10,"0,837s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:19:10,17-07-2024 14:19:12,"1,812s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:19:12,17-07-2024 14:19:17,"5,040s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:19:17,17-07-2024 14:19:18,"0,554s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:19:18,17-07-2024 14:19:19,"1,252s",PASSED
