Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:13:47,17-07-2024 14:14:03,"15,994s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:13:47,17-07-2024 14:14:03,"15,789s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:13:48,17-07-2024 14:13:51,"3,917s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:13:51,17-07-2024 14:13:52,"0,081s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:13:52,17-07-2024 14:13:53,"1,138s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:13:53,17-07-2024 14:13:53,"0,578s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:13:53,17-07-2024 14:13:53,"0,068s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:13:53,17-07-2024 14:13:54,"0,814s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:13:54,17-07-2024 14:13:55,"0,847s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:13:55,17-07-2024 14:13:57,"1,839s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:13:57,17-07-2024 14:14:02,"5,039s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:14:02,17-07-2024 14:14:02,"0,540s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:14:02,17-07-2024 14:14:03,"0,484s",PASSED
