Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 17:32:07,17-07-2024 17:32:23,"15,631s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 17:32:07,17-07-2024 17:32:23,"15,418s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 17:32:08,17-07-2024 17:32:11,"3,339s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 17:32:11,17-07-2024 17:32:11,"0,518s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 17:32:12,17-07-2024 17:32:13,"1,174s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 17:32:13,17-07-2024 17:32:13,"0,546s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 17:32:13,17-07-2024 17:32:13,"0,048s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 17:32:13,17-07-2024 17:32:14,"0,756s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 17:32:14,17-07-2024 17:32:15,"0,858s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 17:32:15,17-07-2024 17:32:17,"1,808s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 17:32:17,17-07-2024 17:32:22,"5,037s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 17:32:22,17-07-2024 17:32:22,"0,576s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 17:32:22,17-07-2024 17:32:23,"0,276s",PASSED
