Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:33:39,17-07-2024 14:33:55,"15,933s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:33:39,17-07-2024 14:33:55,"15,725s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:33:39,17-07-2024 14:33:43,"3,877s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:33:43,17-07-2024 14:33:43,"0,075s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:33:43,17-07-2024 14:33:45,"1,206s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:33:45,17-07-2024 14:33:45,"0,560s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:33:45,17-07-2024 14:33:45,"0,059s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:33:45,17-07-2024 14:33:46,"0,766s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:33:46,17-07-2024 14:33:47,"0,973s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:33:47,17-07-2024 14:33:49,"1,749s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:33:49,17-07-2024 14:33:54,"5,035s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:33:54,17-07-2024 14:33:54,"0,565s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:33:54,17-07-2024 14:33:55,"0,395s",PASSED
