Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 17:28:24,17-07-2024 17:28:39,"15,589s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 17:28:24,17-07-2024 17:28:39,"15,373s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 17:28:24,17-07-2024 17:28:28,"3,776s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 17:28:28,17-07-2024 17:28:28,"0,065s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 17:28:28,17-07-2024 17:28:29,"1,043s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 17:28:29,17-07-2024 17:28:30,"0,536s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 17:28:30,17-07-2024 17:28:30,"0,050s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 17:28:30,17-07-2024 17:28:31,"0,792s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 17:28:31,17-07-2024 17:28:31,"0,839s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 17:28:31,17-07-2024 17:28:33,"1,787s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 17:28:33,17-07-2024 17:28:38,"5,039s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 17:28:38,17-07-2024 17:28:39,"0,562s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 17:28:39,17-07-2024 17:28:39,"0,409s",PASSED
