Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:38:56,17-07-2024 14:39:11,"15,032s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:38:56,17-07-2024 14:39:11,"14,879s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:38:56,17-07-2024 14:38:59,"3,203s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:38:59,17-07-2024 14:39:00,"0,060s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:39:00,17-07-2024 14:39:02,"2,211s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:39:02,17-07-2024 14:39:02,"0,292s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:39:02,17-07-2024 14:39:02,"0,030s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:39:02,17-07-2024 14:39:03,"0,590s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:39:03,17-07-2024 14:39:03,"0,705s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:39:03,17-07-2024 14:39:05,"1,782s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:39:05,17-07-2024 14:39:10,"5,026s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:39:10,17-07-2024 14:39:11,"0,454s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:39:11,17-07-2024 14:39:11,"0,195s",PASSED
