Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 126.0.0.0,,,17-07-2024 14:42:15,17-07-2024 14:42:30,"14,134s",PASSED
,,,,,,,
Test Cases/WebTest/TC01,Chrome 126.0.0.0,,,17-07-2024 14:42:16,17-07-2024 14:42:30,"13,984s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:42:16,17-07-2024 14:42:19,"3,149s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:42:19,17-07-2024 14:42:19,"0,046s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:42:19,17-07-2024 14:42:20,"1,202s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:42:20,17-07-2024 14:42:21,"0,645s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:42:21,17-07-2024 14:42:21,"0,024s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:42:21,17-07-2024 14:42:22,"0,561s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:42:22,17-07-2024 14:42:22,"0,698s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:42:22,17-07-2024 14:42:24,"1,661s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:42:24,17-07-2024 14:42:29,"5,033s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:42:29,17-07-2024 14:42:29,"0,430s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:42:29,17-07-2024 14:42:30,"0,218s",PASSED
