Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS10,Chrome 126.0.0.0,,,12-07-2024 20:01:38,12-07-2024 20:01:52,"13,535s",PASSED
,,,,,,,
Test Cases/Create Test Case/TC10,Chrome 126.0.0.0,,,12-07-2024 20:01:38,12-07-2024 20:01:52,"13,369s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,12-07-2024 20:01:39,12-07-2024 20:01:42,"3,041s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 20:01:42,12-07-2024 20:01:42,"0,062s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,12-07-2024 20:01:42,12-07-2024 20:01:43,"0,920s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,12-07-2024 20:01:43,12-07-2024 20:01:43,"0,527s",PASSED
delay(0),Chrome 126.0.0.0,,,12-07-2024 20:01:43,12-07-2024 20:01:43,"0,026s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:01:43,12-07-2024 20:01:44,"0,575s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), ""Tom Holland"")",Chrome 126.0.0.0,,,12-07-2024 20:01:44,12-07-2024 20:01:44,"0,689s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,12-07-2024 20:01:44,12-07-2024 20:01:46,"1,790s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 20:01:46,12-07-2024 20:01:51,"5,031s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,12-07-2024 20:01:51,12-07-2024 20:01:52,"0,421s",PASSED
